Time (s),Limonene-FB = 20 µm (ref),Toluene-FB = 20 µm (v1),Limonene-FB = 10 µm (v2),Toluene-FB = 10 µm (v3)
35946030.15075377,1.6725616305694706,2.3630372260885,2.553241086316282,3.3300228067101716
36157477.386934675,1.6821579222113285,2.375245716726356,2.565688375289864,3.341302143038946
36368924.62311558,1.6917189184667831,2.387373899846043,2.578045942387427,3.352438068445392
36580371.859296486,1.7012443240153516,2.3994213429484006,2.5903133619681964,3.363430710742307
36791819.09547739,1.7107343880240626,2.4113888484213133,2.602491587816511,3.3742823852735846
37003266.33165829,1.7201896215213965,2.4232778013695784,2.614582221340359,3.3849963910194916
37214713.5678392,1.729609681731025,2.4350876602163813,2.6265847150588706,3.3955726383597544
37426160.8040201,1.7389947989822174,2.4468191753698307,2.63849996167907,3.406013290733977
37637608.04020101,1.7483455634676366,2.4584738911801085,2.650329734971483,3.4163218306682914
37849055.27638191,1.7576612371234022,2.470050387315423,2.662072511186866,3.4264966609247156
38060502.51256281,1.7669427247471894,2.481550906045759,2.673730838533486,3.436542427646621
38271949.74874372,1.7761898689543483,2.4929753182537833,2.685304627267014,3.4464597071751464
38483396.98492462,1.7854026226868718,2.504323743979066,2.6967940653781612,3.4562495064464613
38694844.22110553,1.7945816447362344,2.5155978548550237,2.708201061130201,3.465915400147869
38906291.45728643,1.8037262163424805,2.5267962903548207,2.7195241594139823,3.4754559017866207
39117738.693467334,1.8128375306162088,2.5379218856056482,2.730766554041102,3.484876458789513
39329185.92964824,1.8219144784331673,2.5489724305374577,2.7419258508817728,3.4941742042968422
39540633.165829144,1.8309585077500665,2.559951297320692,2.7530058344348856,3.503355385250504
39752080.40201005,1.8399683992799247,2.5708560482350977,2.7640038600037142,3.5124167875238377
39963527.638190955,1.8489455737009932,2.581689975427121,2.774923618450943,3.5213644449804047
40174974.87437186,1.8578889830706917,2.5924510235520586,2.7857628900976903,3.5301957803823223
40386422.110552765,1.866799739229582,2.603141799596714,2.79652460404764,3.538915650618744
40597869.34673367,1.8756772457310222,2.6137612296120274,2.8072076246397937,3.5475230571893346
40809316.582914576,1.8845220258724096,2.6243106410063617,2.8178134661647394,3.5560207810680375
41020763.81909548,1.8933342162828048,2.634790529320163,2.8283427237448877,3.5644102723905373
41232211.05527638,1.9021134701028173,2.645200360901691,2.8387948592280687,3.57269138162253
41443658.29145729,1.9108606775352925,2.655542228318633,2.8491722241461237,3.580867999201913
41655105.52763819,1.919575119011502,2.6658148088725206,2.8594734122488195,3.588938751420081
41866552.7638191,1.9282574545214308,2.6760196981161783,2.8697002258108713,3.5969067233870624
42078000.0,1.9369080305052921,2.686157819899122,2.8798537263152357,3.6047739389264444
